event_id,year,event_label,geography,cities,population_weighted_total_opportunity_contribution,area_weighted_total_opportunity_contribution,population_weighted_cross_city_opportunity_contribution,area_weighted_cross_city_opportunity_contribution,population_weighted_coverage_contribution,area_weighted_coverage_contribution,population_weighted_total_contribution_uncovered,population_weighted_total_contribution_covered,start_total_opportunity,total_contribution_percent_of_start,cross_city_share_of_total_contribution,total_rank_desc,cross_city_rank_desc,coverage_rank_desc,contribution_type,total_nonzero_cells,total_positive_cells,total_negative_cells,total_nonzero_population_fraction,total_affected_cities,cross_city_nonzero_cells,cross_city_positive_cells,cross_city_negative_cells,cross_city_nonzero_population_fraction,cross_city_affected_cities,coverage_nonzero_cells,coverage_positive_cells,coverage_negative_cells,coverage_nonzero_population_fraction,coverage_affected_cities
D2023_E02_GZ_M7_PHASE2,2023,Guangzhou Line 7 phase 2,D_equal_city,3,2554.856544940516,790.7253135399442,331.47853659531876,114.5271618809049,0.0009309202449175,0.0004535188960511,1236.086416423656,7264.597570338534,161851.687551272,1.5785170878315238,0.12974448105579897,11.0,11.0,14.0,coverage_and_cross_city_connectivity,1541,1541,0,0.1525441519487109,2,602,602,0,0.036642043031052556,2,37,37,0,0.0013170782284869407,1
D2023_E01_GZ_M5_EAST,2023,Guangzhou Line 5 eastern extension,D_equal_city,3,2262.8358918560275,392.4920727517612,61.18676643741315,15.508121891245144,0.00126770749411,0.000259198507357,1434.2303421904182,4722.098769658358,161851.687551272,1.3980922448764692,0.027039860317588663,12.0,19.0,12.0,coverage_and_cross_city_connectivity,1217,1217,0,0.13413462033139836,2,187,187,0,0.011752909467358515,2,21,21,0,0.001793569266215671,1
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,D_equal_city,3,1499.5031110419122,325.1948221045088,40.9301446776213,7.485187348793622,0.0014561095048491,0.0005309383736104,890.8775578205531,4144.3799204178495,114722.41164471395,1.3070707715644545,0.02729580510785434,13.0,20.0,11.0,coverage_and_cross_city_connectivity,972,972,0,0.12148293475731345,2,109,109,0,0.010267698502018413,2,43,43,0,0.002060122913429111,1
D2024_E01_FOUR_LINE_INTERCITY,2024,Four-line Greater Bay Area local intercity integration,D_equal_city,3,1489.9171732766008,657.2586516432542,370.485996772338,167.52858123303574,0.0037503405861292,0.0028657016596871,916.683683453182,9492.703961699468,166669.37998806857,0.8939357507559337,0.24866214271332374,14.0,10.0,6.0,coverage_and_cross_city_connectivity,1571,1571,0,0.1645363393431238,3,1467,1467,0,0.15591192612210716,3,101,101,0,0.003401792446944559,3
D2019_E02_GZ_M8_CULTURAL_PARK,2019,Guangzhou Line 8 Cultural Park extension,D_equal_city,3,1472.6605655318197,136.22701377863834,143.2354264215662,21.457169003163127,0.0001743949395894,1.2032956643495266e-05,392.0414126484422,7062.325974695056,119905.53790615713,1.2281839448352943,0.09726302840861349,15.0,15.0,23.0,coverage_and_cross_city_connectivity,971,971,0,0.12478124632920885,2,265,265,0,0.03399478158462096,2,1,1,0,0.0002467362583911704,1
D2022_E06_GZ_M8_XICUN,2022,Xicun station and Line 5 transfer activation,D_equal_city,3,1270.6121729954264,143.27098550459536,163.29727693937517,26.326435195075764,0.0,0.0,2.015921046625714,5719.33953300347,149092.50598632987,0.8522307439865069,0.12851858372677732,16.0,14.0,25.0,connectivity_without_new_coverage,924,924,0,0.11000707114765397,2,429,429,0,0.05018367631661036,2,0,0,0,0.0,0
D2024_E04_GZ_M3_EAST,2024,Guangzhou Line 3 eastern extension,D_equal_city,3,848.4210487509772,234.45249144107876,110.94278460516551,34.77512612372408,0.0004293362221203,0.0001605162524868,507.71918518603167,2132.530332479628,166669.37998806857,0.5090443420451396,0.1307638286066718,17.0,17.0,20.0,coverage_and_cross_city_connectivity,1464,1464,0,0.15855013656843384,2,459,459,0,0.02878051535660235,2,13,13,0,0.0006074305440694231,1
D2022_E01_GZ_M22_FIRST,2022,Guangzhou Line 22 first section,D_equal_city,3,790.430269574661,178.0115098836807,175.54348029996876,46.71256289543216,0.0005819937977106,0.0001481688484494,664.3514095519871,1870.6825307541803,149092.50598632987,0.5301609657343439,0.22208597906356825,18.0,13.0,17.0,coverage_and_cross_city_connectivity,1160,1160,0,0.13904259664763352,2,431,431,0,0.028142343787881743,2,12,12,0,0.0008234124934591798,1
D2022_E03_GZ_M8_RAINBOW,2022,Rainbow Bridge infill station activation,D_equal_city,3,741.1668575691145,89.12296172611899,105.7532247052809,23.147142531149893,0.0,0.0,9.288718133824108,3564.6826194240552,149092.50598632987,0.49711878720253805,0.14268477283527117,19.0,18.0,25.0,connectivity_without_new_coverage,1263,1263,0,0.1436844297105833,2,356,356,0,0.024291973808066632,2,0,0,0,0.0,0
D2022_E04_FS_TRAM_NH1_FULL,2022,Nanhai Tram 1 completion,D_equal_city,3,638.8733477088315,282.1491710742061,455.6616029719076,198.02975766643405,0.0003385058198608,0.0002546397702609,298.50966388273554,3274.99799844484,149092.50598632987,0.4285080215684409,0.7132268149955393,20.0,9.0,21.0,coverage_and_cross_city_connectivity,1125,1125,0,0.1371536794879768,2,777,777,0,0.11422951517039923,2,11,11,0,0.00025696863409468436,1
D2020_E04_GZ_TRAM_HP1_FULL,2020,Huangpu Tram 1 completion to Xiangxue,D_equal_city,3,303.3585633269533,127.56065594238136,3.769618912978428,0.9032379364945128,0.0002312859097595,0.0001852110605617,179.2415340801742,725.413683651814,125772.31632946101,0.24119661001734635,0.012426281531784598,21.0,21.0,22.0,coverage_and_cross_city_connectivity,981,981,0,0.11988589058237842,2,34,34,0,0.0022914701221135275,2,15,15,0,0.00032722635259374827,1
D2020_E01_GZ_TRAM_HP1_FIRST,2020,Huangpu Tram 1 first section,D_equal_city,3,272.4594138663504,164.51874178319747,0.513523676784184,0.2461221315876239,0.0004701497734965,0.0004074643332359,182.95646590299071,542.9673583913692,125772.31632946101,0.2166290816753681,0.0018847712747267484,22.0,23.0,19.0,coverage_and_cross_city_connectivity,811,811,0,0.10238381223262245,2,24,24,0,0.0016440886716391078,2,33,33,0,0.000665174094323498,1
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,D_equal_city,3,144.38089772270308,33.4042259971548,1.040408425121016,0.1851903308995336,0.0001571577849852,4.9389616149806175e-05,99.63449026443408,306.07875601276066,114722.41164471395,0.12585239069924634,0.007205997756844655,23.0,22.0,24.0,coverage_and_cross_city_connectivity,597,597,0,0.09539378183861791,2,13,13,0,0.0012682596378788206,2,4,4,0,0.00022234890493726128,1
D2020_E03_LOCAL_INTERCITY,2020,Guangqing-Guangzhou East Ring through-running local intercity,D_equal_city,3,107.06710822666923,35.62763958339335,0.0,0.0,0.0004870813295152,0.0002346006767115,71.1554977635402,212.3009077037243,125772.31632946101,0.08512772234090574,0.0,24.0,24.0,18.0,coverage_mainly_local,379,379,0,0.06113802199645205,1,0,0,0,0.0,0,19,19,0,0.0006891290828720001,1
D2019_E03_FS_TRAM_GM1,2019,Foshan Gaoming Tram demonstration line,D_equal_city,3,54.06562635992301,27.92615127515636,0.0,0.0,0.001969000467161,0.001065059292854,56.31651905699638,0.0,119905.53790615713,0.045090182909013704,0.0,25.0,24.0,10.0,coverage_mainly_local,46,46,0,0.0014947198272281404,1,0,0,0,0.0,0,46,46,0,0.0014947198272281404,1
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,D_equal_city,3,16.94356984373663,15.338780645229198,0.0,0.0,0.0005865183199729,0.0003704221211235,16.626717612048857,17.96796887505634,114722.41164471395,0.014769189037107673,0.0,26.0,24.0,16.0,coverage_mainly_local,141,141,0,0.0039015840712661306,1,0,0,0,0.0,0,30,30,0,0.0008298138471717292,1
D2018_E01_GZ_M3_AIRPORT_NORTH,2018,Guangzhou Line 3 Airport North extension,D_equal_city,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114722.41164471395,0.0,,27.0,24.0,25.0,structural_zero,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0
D2024_E02_GAOMING_SUSPENSION,2024,Gaoming Tram suspension,D_equal_city,3,-54.065626359923016,-27.92615127515637,0.0,0.0,-0.001969000467161,-0.001065059292854,0.0,-496.6993635072547,166669.37998806857,-0.03243884771383528,-0.0,28.0,24.0,29.0,negative_disruption,46,0,46,0.0014947198272281404,1,0,0,0,0.0,0,46,0,46,0.0014947198272281404,1
D2024_E05_HZ1_TOWER_CLOSURE,2024,Haizhu Tram Tower station section closure,D_equal_city,3,-126.9992057017694,-18.28071420680134,-12.272591628395023,-3.017080072146907,0.0,0.0,-2.544783859293602,-495.77488505451333,166669.37998806857,-0.07619828291847065,0.09663518413819526,29.0,29.0,25.0,negative_disruption,1228,0,1228,0.14680477186930765,2,314,0,314,0.021878079420048404,2,0,0,0,0.0,0
