event_id,year,event_label,geography,metric,baseline_stratum,full_valid_population_denominator,stratum_population,stratum_population_fraction,additive_population_weighted_contribution,full_population_weighted_contribution,stratum_share_of_project_contribution
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,D_equal_city,coverage,baseline_uncovered,38250058.61750648,33297976.546128884,0.8983171677838615,0.0009482894456291778,0.0009482894456291777,1.0000000000000002
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,D_equal_city,cross_city_opportunity,baseline_covered,38250058.61750648,4952082.071377605,0.10168283221613855,451.1725927250059,522.3845734419848,0.8636790128625658
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,D_equal_city,cross_city_opportunity,baseline_uncovered,38250058.61750648,33297976.546128884,0.8983171677838615,71.21198071697893,522.3845734419848,0.13632098713743432
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,D_equal_city,total_opportunity,baseline_covered,38250058.61750648,4952082.071377605,0.10168283221613855,2266.553468053471,3522.2986828348658,0.6434870157658724
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,D_equal_city,total_opportunity,baseline_uncovered,38250058.61750648,33297976.546128884,0.8983171677838615,1255.7452147813945,3522.2986828348658,0.3565129842341275
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,Dongguan,coverage,baseline_covered,10532289.192640668,303789.0819543783,0.0288435948157071,0.0,0.0,
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,Dongguan,coverage,baseline_uncovered,10532289.192640668,10228500.110686291,0.971156405184293,0.0,0.0,
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,Dongguan,cross_city_opportunity,baseline_covered,10532289.192640668,303789.0819543783,0.0288435948157071,0.0,0.0,
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,Dongguan,cross_city_opportunity,baseline_uncovered,10532289.192640668,10228500.110686291,0.971156405184293,0.0,0.0,
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,Dongguan,total_opportunity,baseline_covered,10532289.192640668,303789.0819543783,0.0288435948157071,0.0,0.0,
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,Dongguan,total_opportunity,baseline_uncovered,10532289.192640668,10228500.110686291,0.971156405184293,0.0,0.0,
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,Foshan,coverage,baseline_covered,9678873.784230271,386851.08173624065,0.03996860485633511,0.0,0.0,
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,Foshan,coverage,baseline_uncovered,9678873.784230271,9292022.70249403,0.9600313951436649,0.0,0.0,
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,Foshan,cross_city_opportunity,baseline_covered,9678873.784230271,386851.08173624065,0.03996860485633511,1018.6044834431208,1018.6044834431206,1.0000000000000002
