event_id,year,event_label,geography,cities,population_weighted_total_opportunity_contribution,area_weighted_total_opportunity_contribution,population_weighted_cross_city_opportunity_contribution,area_weighted_cross_city_opportunity_contribution,population_weighted_coverage_contribution,area_weighted_coverage_contribution,population_weighted_total_contribution_uncovered,population_weighted_total_contribution_covered
D2021_E03_FS_M2_PHASE1,2021,Foshan Metro Line 2 phase 1,D_equal_city,3,6401.649868179217,1705.1322313357966,4378.419048654619,1168.264892622669,0.006304174657405231,0.002067864324423696,4393.054249544474,22097.07018964073
D2022_E01_GZ_M22_FIRST,2022,Guangzhou Line 22 first section,D_equal_city,3,878.0753628370721,214.2478649037188,178.57220941909267,50.010519697635765,0.0006775928129735954,0.0001827613784002081,793.9562535399833,1827.7471732437134
D2022_E02_GZ_M7_WEST,2022,Guangzhou Line 7 western extension,D_equal_city,3,4018.5936937250694,1148.7272761905645,3355.4394138283715,931.7063009657355,0.0022320752206222406,0.0008733137139626796,2922.8982427615897,6759.580301453002
D2022_E03_GZ_M8_RAINBOW,2022,Rainbow Bridge infill station activation,D_equal_city,3,751.8835338521926,88.70621782999444,103.81369150298167,22.228559933507196,0.0,0.0,9.858373986352676,3521.1173899979963
D2022_E04_FS_TRAM_NH1_FULL,2022,Nanhai Tram 1 completion,D_equal_city,3,651.7903638072067,291.67489543649754,465.9142669221854,205.78607750498614,0.0003622862580028954,0.0002779041285829741,314.993294036531,3251.8916950611365
D2022_E05_FS_M3_FIRST,2022,Foshan Metro Line 3 first section,D_equal_city,3,5159.788631608283,1349.3428935721083,2386.15160222063,567.6580540660927,0.008616041097510506,0.0026182199742082455,3702.5603904981217,15385.286764623039
D2022_E06_GZ_M8_XICUN,2022,Xicun station and Line 5 transfer activation,D_equal_city,3,1482.6701291858299,161.4765874184207,178.2977176952181,26.9784631022027,0.00012979770590136063,1.2172078638086043e-05,276.7368573544688,5601.585248143121
D2023_E01_GZ_M5_EAST,2023,Guangzhou Line 5 eastern extension,D_equal_city,3,2406.487972692715,420.37889973110396,63.13827638014163,15.758745175387183,0.0013799958550327355,0.00028389331543197,1587.1862221435524,4785.638371600407
D2023_E02_GZ_M7_PHASE2,2023,Guangzhou Line 7 phase 2,D_equal_city,3,2115.1992811073046,721.4852492547924,317.62245653957115,111.24519462557579,0.0007468814455376389,0.0004041292799013682,1014.4181722645998,6167.573135620248
D2024_E01_FOUR_LINE_INTERCITY,2024,Four-line Greater Bay Area local intercity integration,D_equal_city,3,1708.0928677600734,707.1169150448841,453.8372633437566,192.24702719765006,0.003735580486898668,0.0028512557330718515,955.0024190759541,10817.80696488329
D2024_E02_GAOMING_SUSPENSION,2024,Gaoming Tram suspension,D_equal_city,3,-54.201916826725245,-26.807857478874066,0.0,0.0,-0.0020385173219653395,-0.0010421404821861528,0.0,-495.48379291038356
D2024_E03_FS_M3_TWO_SECTIONS,2024,Foshan Metro Line 3 central and northern sections,D_equal_city,3,4668.073898206346,945.1877108530972,2841.3802459698454,488.1013861381728,0.003858834337932359,0.0013547389984894665,2304.3958646834376,18443.62654290946
D2024_E04_GZ_M3_EAST,2024,Guangzhou Line 3 eastern extension,D_equal_city,3,1148.9876072540771,305.0077712445171,150.00826564370212,45.64359527987572,0.0005454312676116546,0.00019755846459922478,675.5103215656926,2920.9314733023425
D2024_E05_HZ1_TOWER_CLOSURE,2024,Haizhu Tram Tower station section closure,D_equal_city,3,-134.75520444474287,-20.747928045733172,-12.42746520249466,-3.0650616468339478,0.0,0.0,-3.0246389530458218,-515.4700859678355
D2024_E06_GZ_M11_SHAHE,2024,"Guangzhou Line 11 loop, Shahe activation and Line 21 topology reassignment",D_equal_city,3,19868.597399965143,2369.0175553800823,2190.977752410433,422.28514335730944,0.005398898759601666,0.0005781254314942099,13029.23380915165,44952.70832858811
