event_id,year,event_label,metric,value_500m_full_support,value_1km_complete_parent_support,difference,sign_500m,sign_1km
D2022_E06_GZ_M8_XICUN,2022,Xicun station and Line 5 transfer activation,cross_city_opportunity_contribution,163.29727693937517,152.58187452643003,-10.715402412945139,1,1
D2023_E01_GZ_M5_EAST,2023,Guangzhou Line 5 eastern extension,cross_city_opportunity_contribution,61.18676643741315,49.39575747462481,-11.79100896278834,1,1
D2023_E02_GZ_M7_PHASE2,2023,Guangzhou Line 7 phase 2,cross_city_opportunity_contribution,331.47853659531876,321.2840619294262,-10.194474665892585,1,1
D2024_E01_FOUR_LINE_INTERCITY,2024,Four-line Greater Bay Area local intercity integration,cross_city_opportunity_contribution,370.485996772338,374.42993555342963,3.9439387810916173,1,1
D2024_E02_GAOMING_SUSPENSION,2024,Gaoming Tram suspension,cross_city_opportunity_contribution,0.0,0.0,0.0,0,0
D2024_E03_FS_M3_TWO_SECTIONS,2024,Foshan Metro Line 3 central and northern sections,cross_city_opportunity_contribution,2495.2680402318397,2599.23347831134,103.96543807950047,1,1
D2024_E04_GZ_M3_EAST,2024,Guangzhou Line 3 eastern extension,cross_city_opportunity_contribution,110.94278460516551,109.69946144821553,-1.2433231569499839,1,1
D2024_E05_HZ1_TOWER_CLOSURE,2024,Haizhu Tram Tower station section closure,cross_city_opportunity_contribution,-12.272591628395023,-8.935389836074929,3.3372017923200943,-1,-1
D2024_E06_GZ_M11_SHAHE,2024,"Guangzhou Line 11 loop, Shahe activation and Line 21 topology reassignment",cross_city_opportunity_contribution,1786.306850300011,1739.5618226947952,-46.74502760521591,1,1
D2018_E01_GZ_M3_AIRPORT_NORTH,2018,Guangzhou Line 3 Airport North extension,coverage_contribution,0.0,0.0,0.0,0,0
D2018_E02_GZ_M9_QINGTANG,2018,Qingtang infill station passenger activation,coverage_contribution,0.0001571577849852,0.0001673218916920445,1.0164106706844512e-05,1,1
D2018_E03_GF_LIJIAO,2018,Guangfo Metro Yangang-Lijiao extension,coverage_contribution,0.0009482894456291,0.0007741593866226106,-0.00017413005900648935,1,1
D2018_E04_GZ_M14_MAIN,2018,Guangzhou Line 14 main line,coverage_contribution,0.0014561095048491,0.0015502827103661598,9.417320551705988e-05,1,1
D2018_E05_GZ_M21_EAST,2018,Guangzhou Line 21 eastern section,coverage_contribution,0.0005865183199729,0.0006244511197399605,3.793279976706048e-05,1,1
D2019_E01_GZ_M21_WEST,2019,Guangzhou Line 21 western section,coverage_contribution,0.0027420594495518,0.002919400870113082,0.00017734142056128168,1,1
D2019_E02_GZ_M8_CULTURAL_PARK,2019,Guangzhou Line 8 Cultural Park extension,coverage_contribution,0.0001743949395894,0.0,-0.0001743949395894,1,0
D2019_E03_FS_TRAM_GM1,2019,Foshan Gaoming Tram demonstration line,coverage_contribution,0.001969000467161,0.0020881886000752585,0.0001191881329142587,1,1
D2020_E01_GZ_TRAM_HP1_FIRST,2020,Huangpu Tram 1 first section,coverage_contribution,0.0004701497734965,0.0005005564916011365,3.040671810463654e-05,1,1
D2020_E02_GZ_M8_NORTH,2020,Guangzhou Line 8 northern extension,coverage_contribution,0.0039538362552744,0.0041856340001108355,0.00023179774483643532,1,1
D2020_E03_LOCAL_INTERCITY,2020,Guangqing-Guangzhou East Ring through-running local intercity,coverage_contribution,0.0004870813295152,0.0005185830881365572,3.150175862135716e-05,1,1
D2020_E04_GZ_TRAM_HP1_FULL,2020,Huangpu Tram 1 completion to Xiangxue,coverage_contribution,0.0002312859097595,0.0002462442184859105,1.4958308726410513e-05,1,1
D2021_E01_FS_TRAM_NH1_FIRST,2021,Nanhai Tram 1 first section,coverage_contribution,0.0034304573782756,0.0035933907273351215,0.0001629333490595214,1,1
D2021_E02_GZ_M18_FIRST,2021,Guangzhou Line 18 first section,coverage_contribution,0.0007652720367205,0.0008093657549164715,4.4093718195971484e-05,1,1
D2021_E03_FS_M2_PHASE1,2021,Foshan Metro Line 2 phase 1,coverage_contribution,0.0063685285564813,0.006730442984791515,0.00036191442831021506,1,1
D2022_E01_GZ_M22_FIRST,2022,Guangzhou Line 22 first section,coverage_contribution,0.0005819937977106,0.0006196339761031351,3.7640178392535145e-05,1,1
D2022_E02_GZ_M7_WEST,2022,Guangzhou Line 7 western extension,coverage_contribution,0.0020322726504542,0.002179117995812107,0.00014684534535790725,1,1
D2022_E03_GZ_M8_RAINBOW,2022,Rainbow Bridge infill station activation,coverage_contribution,0.0,0.0,0.0,0,0
D2022_E04_FS_TRAM_NH1_FULL,2022,Nanhai Tram 1 completion,coverage_contribution,0.0003385058198608,0.00036530878309294716,2.680296323214718e-05,1,1
D2022_E05_FS_M3_FIRST,2022,Foshan Metro Line 3 first section,coverage_contribution,0.0088607284172804,0.00932760992366985,0.00046688150638945006,1,1
D2022_E06_GZ_M8_XICUN,2022,Xicun station and Line 5 transfer activation,coverage_contribution,0.0,0.0,0.0,0,0
D2023_E01_GZ_M5_EAST,2023,Guangzhou Line 5 eastern extension,coverage_contribution,0.00126770749411,0.0010542921039237035,-0.00021341539018629647,1,1
D2023_E02_GZ_M7_PHASE2,2023,Guangzhou Line 7 phase 2,coverage_contribution,0.0009309202449175,0.0008255661095827996,-0.00010535413533470047,1,1
D2024_E01_FOUR_LINE_INTERCITY,2024,Four-line Greater Bay Area local intercity integration,coverage_contribution,0.0037503405861292,0.0038822910079268046,0.0001319504217976047,1,1
D2024_E02_GAOMING_SUSPENSION,2024,Gaoming Tram suspension,coverage_contribution,-0.001969000467161,-0.0020881886000752594,-0.00011918813291425957,-1,-1
D2024_E03_FS_M3_TWO_SECTIONS,2024,Foshan Metro Line 3 central and northern sections,coverage_contribution,0.0041790422285368,0.004509939686201881,0.0003308974576650813,1,1
D2024_E04_GZ_M3_EAST,2024,Guangzhou Line 3 eastern extension,coverage_contribution,0.0004293362221203,0.0004003479562581062,-2.8988265862193833e-05,1,1
D2024_E05_HZ1_TOWER_CLOSURE,2024,Haizhu Tram Tower station section closure,coverage_contribution,0.0,0.0,0.0,0,0
D2024_E06_GZ_M11_SHAHE,2024,"Guangzhou Line 11 loop, Shahe activation and Line 21 topology reassignment",coverage_contribution,0.0046773272392809,0.0047381867967418835,6.085955746098354e-05,1,1
