event_id,year,event_label,total_opportunity_baseline_uncovered,total_opportunity_baseline_covered,total_opportunity_total,total_opportunity_closure_error,total_opportunity_legacy_total_match_error,cross_city_opportunity_baseline_uncovered,cross_city_opportunity_baseline_covered,cross_city_opportunity_total,cross_city_opportunity_closure_error,cross_city_opportunity_legacy_total_match_error,coverage_baseline_uncovered,coverage_baseline_covered,coverage_total,coverage_closure_error,coverage_legacy_total_match_error
D2020_E03_LOCAL_INTERCITY,2020,Guangqing-Guangzhou East Ring through-running local intercity,53.0514126283791,54.015695598290144,107.06710822666923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004870813295152,0.0,0.0004870813295152,0.0,0.0
D2020_E04_GZ_TRAM_HP1_FULL,2020,Huangpu Tram 1 completion to Xiangxue,133.63713112134786,169.7214322056054,303.3585633269533,-5.684341886080802e-14,0.0,0.5040624776266011,3.265556435351827,3.769618912978428,4.440892098500626e-16,0.0,0.0002312859097595,0.0,0.0002312859097595,0.0,0.0
D2021_E01_FS_TRAM_NH1_FIRST,2021,Nanhai Tram 1 first section,2256.5232033764387,1412.94485913963,3669.468062516069,-4.547473508864641e-13,0.0,1638.8082593968595,1002.2035773797352,2641.0118367765945,0.0,0.0,0.0034304573782756,0.0,0.0034304573782756,0.0,0.0
D2021_E02_GZ_M18_FIRST,2021,Guangzhou Line 18 first section,783.2561953629053,1873.6103672064892,2656.866562569395,-4.547473508864641e-13,0.0,74.6070756808221,139.3807044679699,213.98778014879204,-2.842170943040401e-14,0.0,0.0007652720367205,0.0,0.0007652720367205,0.0,0.0
D2021_E03_FS_M2_PHASE1,2021,Foshan Metro Line 2 phase 1,4179.071626468981,2404.079874727129,6583.151501196109,9.094947017729282e-13,0.0,2835.779808340268,1560.6838678654235,4396.463676205692,0.0,0.0,0.0063685285564813,0.0,0.0063685285564813,0.0,0.0
D2022_E01_GZ_M22_FIRST,2022,Guangzhou Line 22 first section,487.5078567279026,302.9224128467583,790.430269574661,-1.1368683772161603e-13,0.0,83.73218675917921,91.81129354078956,175.54348029996876,2.842170943040401e-14,0.0,0.0005819937977106,0.0,0.0005819937977106,0.0,0.0
D2022_E02_GZ_M7_WEST,2022,Guangzhou Line 7 western extension,2580.32619277002,1374.5998591456691,3954.9260519156887,4.547473508864641e-13,0.0,2220.036164136758,1155.0328138389634,3375.0689779757213,0.0,0.0,0.0020322726504542,0.0,0.0020322726504542,0.0,0.0
D2022_E03_GZ_M8_RAINBOW,2022,Rainbow Bridge infill station activation,8.384534648930897,732.7823229201837,741.1668575691145,0.0,0.0,7.623678987349918,98.12954571793097,105.7532247052809,-1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0
D2022_E04_FS_TRAM_NH1_FULL,2022,Nanhai Tram 1 completion,274.9496353784088,363.92371233042246,638.8733477088315,-2.2737367544323206e-13,0.0,190.87374615260623,264.7878568193014,455.6616029719076,5.684341886080802e-14,0.0,0.0003385058198608,0.0,0.0003385058198608,0.0,0.0
D2022_E05_FS_M3_FIRST,2022,Foshan Metro Line 3 first section,3558.844409919686,1804.32845525878,5363.172865178466,0.0,0.0,1593.7416097963126,833.9325124363199,2427.6741222326327,0.0,0.0,0.0088607284172804,0.0,0.0088607284172804,0.0,0.0
D2022_E06_GZ_M8_XICUN,2022,Xicun station and Line 5 transfer activation,1.8644139373177209,1268.7477590581086,1270.6121729954264,0.0,0.0,1.86441393731772,161.43286300205747,163.29727693937517,2.842170943040401e-14,0.0,0.0,0.0,0.0,0.0,0.0
D2023_E01_GZ_M5_EAST,2023,Guangzhou Line 5 eastern extension,1041.228241477564,1221.6076503784636,2262.8358918560275,4.547473508864641e-13,0.0,12.098720711576926,49.088045725836224,61.18676643741315,0.0,0.0,0.00126770749411,0.0,0.00126770749411,0.0,0.0
D2023_E02_GZ_M7_PHASE2,2023,Guangzhou Line 7 phase 2,897.3789270986081,1657.4776178419077,2554.856544940516,0.0,0.0,49.022318589877706,282.45621800544114,331.47853659531876,1.1368683772161603e-13,0.0,0.0009309202449175,0.0,0.0009309202449175,0.0,0.0
D2024_E01_FOUR_LINE_INTERCITY,2024,Four-line Greater Bay Area local intercity integration,768.1981883579352,721.7189849186657,1489.9171732766008,0.0,0.0,168.2136527484455,202.2723440238925,370.485996772338,0.0,0.0,0.0037503405861292,0.0,0.0037503405861292,0.0,0.0
D2024_E02_GAOMING_SUSPENSION,2024,Gaoming Tram suspension,0.0,-54.065626359923016,-54.065626359923016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001969000467161,-0.001969000467161,0.0,0.0
D2024_E03_FS_M3_TWO_SECTIONS,2024,Foshan Metro Line 3 central and northern sections,1897.1028378274268,2238.3513428118863,4135.4541806393145,-9.094947017729282e-13,0.0,1155.2490000447897,1340.0190401870498,2495.2680402318397,-4.547473508864641e-13,0.0,0.0041790422285368,0.0,0.0041790422285368,0.0,0.0
D2024_E04_GZ_M3_EAST,2024,Guangzhou Line 3 eastern extension,365.4470327906493,482.974015960328,848.4210487509772,1.1368683772161603e-13,0.0,36.02715608353047,74.91562852163507,110.94278460516551,2.842170943040401e-14,0.0,0.0004293362221203,0.0,0.0004293362221203,0.0,0.0
D2024_E05_HZ1_TOWER_CLOSURE,2024,Haizhu Tram Tower station section closure,-1.884145947917016,-125.11505975385238,-126.9992057017694,0.0,0.0,-0.2773590466226271,-11.995232581772395,-12.272591628395023,1.7763568394002505e-15,0.0,0.0,0.0,0.0,0.0,0.0
D2024_E06_GZ_M11_SHAHE,2024,"Guangzhou Line 11 loop, Shahe activation and Line 21 topology reassignment",7899.272724457062,8742.735855652367,16642.008580109432,-3.637978807091713e-12,0.0,575.6193502140404,1210.687500085971,1786.306850300011,2.2737367544323206e-13,0.0,0.0046773272392809,0.0,0.0046773272392809,0.0,0.0
